País;Mortes a cada 100000 habitantes;Homens;Mulheres;Latitude;Longitude
  Afghanistan;6.0;6.2;5.7;33.93911;67.709953
  Albania;3.7;5.3;2.2;41.15332;20.168331
  Algeria;2.6;3.3;1.9;36.4508;3.0231
  Angola;12.6;21.7;4.7;-11.202692;17.873887
  Antigua and Barbuda;0.3;0.0;0.6;17.060816;-61.796428
  Argentina;8.1;13.5;3.3;-38.416097;-63.616672
  Armenia;2.7;4.9;1.0;40.069099;45.038189
  Australia;11.3;17.0;5.6;-25.274398;133.775136
  Austria;10.4;16.6;4.6;47.516231;14.550072
  Azerbaijan;4.0;6.6;1.5;40.143105;47.576927
  Bahamas;3.4;5.8;1.2;25.03428;-77.39628
  Bahrain;7.2;9.9;2.3;25.930414;50.637772
  Bangladesh;3.9;6.0;1.7;23.684994;90356331
  Barbados;0.3;0.5;0.2;13.193887;-59.543198
  Belarus;16.5;30.1;5.3;53.7098;27.9533
  Belgium;13.9;19.6;8.4;50.503887;4.469936
  Belize;7.7;13.6;1.8;17.189877;-88.49765
  Benin;12.7;20.3;6.1;9.30769;2.315834
  Bhutan;5.1;6.8;3.1;27.514162;90.433601
  Bolivia;6.8;9.6;4.2;-16.290154;-63588653
  Bosnia and Herzegovina;8.3;13.5;3.4;43.915886;17.679076
  Botswana;20.2;35.5;7.8;-22.328474;24.684866
  Brazil;6.4;10.3;2.8;-14.235004;-5192528
  Brunei;2.5;4.2;0.8;4.535277;114.727669
  Bulgaria;6.5;10.6;2.9;42.73388;25.48583
  Burkina Faso;14.4;24.5;6.5;12.238333;-1.561593
  Burundi;12.1;18.9;6.4;-3.373056;29.918886
  Cape Verde;15.2;27.4;5.1;16.002082;-24013197
  Cambodia;5.5;8.4;3.1;12.5657;104.991
  Cameroon;15.9;25.2;7.6;7.369722;12.354722
  Canada;10.3;15.3;5.4;56.130366;-106.34677
  Central African Republic;23.0;39.6;9.3;6.611111;20.939444
  Chad;13.2;20.2;6.9;15.454166;18.73207
  Chile;8.0;13.4;3.0;-35.675147;-71.542969
  China;6.7;8.6;4.8;35.86166;104.195397
  Colombia;3.7;6.0;1.7;4.570868;-74.297333
  Comoros;8.5;11.3;5.8;7.369722;12.354722
  Congo;11.6;18.3;6.1;-4.038333;21.758664
  Costa Rica;7.6;13.3;1.9;9.748917;-83.753428
  Ivory Coast;15.7;25.7;5.0;7.539989;-5.54708
  Croatia;11.0;17.7;5.1;44.282563;16.28794
  Cuba;10.2;16.7;4.1;21.521757;-77.781167
  Cyprus;3.2;5.3;1.1;35.1031;33.2151
  Czech Republic;9.5;15.4;3.8;49.8175;15.473
  North Korea;8.2;10.6;6.3;40.339852;127.510093
  DR Congo;12.4;20.7;5.0;-4.038333;21.758664
  Denmark;7.6;11.1;4.2;56.26392;9.501785
  Djibouti;11.9;16.3;7.6;11.825138;42.590275
  Dominican Republic;5.1;8.5;1.9;18.735693;-70.162651
  Ecuador;7.7;11.9;3.6;-1.831239;-78.183406
  Egypt;3.4;4.7;2.2;26.820553;30.802498
  El Salvador;6.1;11.1;2.1;13.689350;-89.187180
  Equatorial Guinea;13.5;18.5;8.8;3.750000;8.783330
  Eritrea;17.3;27.2;8.3;15.179384;39.782334
  Estonia;12.0;20.2;4.5;58.595272;25.013607
  Eswatini;40.5;78.7;6.4;-26.316670;31.133330
  Ethiopia;9.5;14.2;5.2;9.145;40.489673
  Fiji;9.5;13.1;6.0;-16.;179.414413
  Finland;13.4;20.1;6.8;61.92411;25.748151
  France;9.7;15.2;4.5;46.227638;2.213749
  Gabon;13.1;23.3;3.;-0.803689;11.609444
  Gambia;9.6;13.3;6.2;13.443182;-15.310139
  Georgia;7.7;14.0;2.2;32.157435;-82.907123
  Germany;8.3;12.8;3.9;51.165691;10.451526
  Ghana;10.5;20.0;1.8;7.946527;-1.023194
  Greece;3.6;5.9;1.5;39.074208;21.824312
  Grenada;0.6;0.5;0.7;12.056440;-61.748490
  Guatemala;6.2;10.3;2.;15.783471;-90.230759
  Guinea;12.3;18.4;8.0;9.945587;-9.696645
  Guinea-Bissau;12.4;19.8;6.7;11.803749;-15.180413
  Guyana;40.9;65.0;17.0;4.860416;-58.93018
  Haiti;11.2;14.9;8.0;18.971187;-72.285215
  Honduras;2.6;4.4;1.0;15.199999;-86.241905
  Hungary;11.8;19.1;5.5;47.162494;19.503304
  Iceland;11.2;18.7;3.5;64.963051;-19.020835
  India;12.9;14.7;11.1;20.593684;78.96288
  Indonesia;2.6;4.0;1.2;-0.789275;113.921327
  Iran;5.1;7.5;2.8;32.427908;53.688046
  Iraq;4.7;7.3;2.4;33.223191;43.679291
  Ireland;8.9;14.3;3.6;53.41291;-8.24389
  Israel;5.2;8.3;2.1;31.046051;34.851612
  Italy;4.3;6.7;2.1;41.87194;12.56738
  Jamaica;2.3;3.6;1.0;18.109581;-77.297508
  Japan;12.2;17.5;6.9;36.204824;138.252924
  Jordan;2.0;3.0;0.9;30.585164;36.238414
  Kazakhstan;18.1;30.9;6.9;48.019573;66.923684
  Kenya;11.0;18.1;5.3;1.283330;36.816670
  Kiribati;30.6;53.6;9.5;-3.370417;-168.734039
  Kuwait;2.7;3.8;0.7;29.31166;47.481766
  Kyrgyzstan;8.3;13.5;3.5;41.20438;74.766098
  Laos;6.0;8.6;3.5;19.85627;102.495496
  Latvia;16.1;29.0;4.6;56.879635;24.603189
  Lebanon;2.8;3.9;1.7;33.854721;35.862285
  Lesotho;87.5;146.9;34.6;-29.609988;28.233608
  Liberia;7.4;9.4;5.5;6.428055;-9.429499
  Libya;4.5;6.1;2.9;26.3351;17.228331
  Lithuania;20.2;36.1;6.2;55.169438;23.881275
  Luxembourg;8.6;11.8;5.4;49.815273;6.129583
  Madagascar;9.2;13.3;5.4;-18.766947;46.869107
  Malawi;10.6;20.0;3.3;-13.254308;34.301525
