ano (uid);ano (nome);local (uid);local (nome);indicador (uid);indicador (nome);categoria (uid);categoria (nome);estatistica (uid);estatistica (nome);lococor (uid);lococor (nome);atestante (uid);atestante (nome);grupoetario (uid);grupoetario (nome);racacor (uid);racacor (nome);sexo (uid);sexo (nome);abrangencia (uid);abrangencia (nome);localidade (uid);localidade (nome);Janeiro;Fevereiro;Março;Abril;Maio;Junho;Julho;Agosto;Setembro;Outubro;Novembro;Dezembro;Ano
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;1;País;76;Brasil;1.047;852;947;935;899;867;851;915;902;990;921;1.052;11.178
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;1;Norte;83;59;80;68;60;82;74;78;71;66;87;73;881
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;11;Rondônia;13;10;8;8;5;8;9;15;8;10;10;5;109
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;12;Acre;4;8;5;5;1;2;0;6;1;2;2;3;39
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;13;Amazonas;21;9;29;16;24;26;32;10;24;21;24;27;263
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;14;Roraima;4;4;4;2;6;6;3;3;4;1;8;7;52
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;15;Pará;27;16;25;18;14;32;24;27;16;17;30;20;266
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;16;Amapá;3;4;3;6;2;3;2;8;10;6;5;1;53
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;17;Tocantins;11;8;6;13;8;5;4;9;8;9;8;10;99
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;2;Nordeste;229;198;204;220;223;207;183;206;211;250;196;213;2.540
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;21;Maranhão;23;21;22;15;24;22;24;36;23;27;22;21;280
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;22;Piauí;26;21;25;21;29;25;19;23;21;23;18;20;271
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;23;Ceará;60;44;52;47;45;45;33;44;48;52;41;54;565
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;24;Rio Grande do Norte;12;12;10;10;13;19;10;5;15;24;16;10;156
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;25;Paraíba;18;22;14;23;19;15;21;15;18;17;18;21;221
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;26;Pernambuco;21;25;20;24;31;18;21;27;27;33;28;33;308
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;27;Alagoas;8;5;16;13;8;15;9;11;6;15;7;3;116
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;28;Sergipe;13;10;9;8;10;9;7;11;11;12;12;8;120
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;29;Bahia;48;38;36;59;44;39;39;34;42;47;34;43;503
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;2;Região;3;Sudeste;413;317;382;361;339;317;324;336;343;384;367;440;4.323
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;31;Minas Gerais;124;94;122;92;104;94;100;106;98;123;114;132;1.303
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;32;Espírito Santo;20;17;20;13;15;15;8;19;15;13;18;16;189
2015;2015;1;Óbitos por residência;212559;(X60-X84) Lesões autoprovocadas intencionalmente;1;Notificação de óbitos;1;Número de óbitos;0;Todos;0;Todos;2000;Todos;0;Todos;0;Todos;3;Unidade da federação;33;Rio de Janeiro;58;37;46;48;44;32;43;31;47;41;40;64;531
