Semana,Suicídio: (Todo o mundo),Semana,Suicídio: (Todo o mundo)
2020-01-05,53,2019-01-06,52
2020-01-12,50,2019-01-13,50
2020-01-19,53,2019-01-20,50
2020-01-26,51,2019-01-27,49
2020-02-02,49,2019-02-03,67
2020-02-09,51,2019-02-10,53
2020-02-16,63,2019-02-17,56
2020-02-23,51,2019-02-24,61
2020-03-01,53,2019-03-03,57
2020-03-08,47,2019-03-10,56
2020-03-15,40,2019-03-17,58
2020-03-22,43,2019-03-24,57
2020-03-29,53,2019-03-31,54
2020-04-05,45,2019-04-07,51
2020-04-12,46,2019-04-14,53
2020-04-19,45,2019-04-21,63
2020-04-26,52,2019-04-28,55
2020-05-03,57,2019-05-05,54
2020-05-10,48,2019-05-12,54
2020-05-17,49,2019-05-19,49
2020-05-24,53,2019-05-26,57
2020-05-31,49,2019-06-02,50
2020-06-07,47,2019-06-09,48
2020-06-14,95,2019-06-16,50
2020-06-21,59,2019-06-23,49
2020-06-28,54,2019-06-30,47
2020-07-05,50,2019-07-07,47
2020-07-12,65,2019-07-14,52
2020-07-19,62,2019-07-21,47
2020-07-26,51,2019-07-28,47
2020-08-02,52,2019-08-04,50
2020-08-09,47,2019-08-11,58
2020-08-16,47,2019-08-18,51
2020-08-23,50,2019-08-25,48
2020-08-30,51,2019-09-01,58
2020-09-06,100,2019-09-08,72
2020-09-13,59,2019-09-15,60
2020-09-20,54,2019-09-22,59
2020-09-27,68,2019-09-29,54
2020-10-04,49,2019-10-06,52
2020-10-11,48,2019-10-13,62
2020-10-18,48,2019-10-20,54
2020-10-25,44,2019-10-27,53
2020-11-01,44,2019-11-03,55
2020-11-08,48,2019-11-10,55
2020-11-15,50,2019-11-17,52
2020-11-22,46,2019-11-24,58
2020-11-29,47,2019-12-01,58
2020-12-06,48,2019-12-08,49
2020-12-13,43,2019-12-15,48
2020-12-20,44,2019-12-22,49
2020-12-27,45,2019-12-29,48
