cod;nome;período;valor
17;TO;2015;99
28;SE;2015;120
35;SP;2015;2300
12;AC;2015;39
15;PA;2015;266
21;MA;2015;280
22;PI;2015;271
27;AL;2015;116
13;AM;2015;263
16;AP;2015;53
23;CE;2015;565
29;BA;2015;503
32;ES;2015;189
52;GO;2015;435
53;DF;2015;130
25;PB;2015;221
31;MG;2015;1303
50;MS;2015;230
51;MT;2015;145
26;PE;2015;308
33;RJ;2015;531
41;PR;2015;716
14;RR;2015;52
11;RO;2015;109
24;RN;2015;156
42;SC;2015;637
43;RS;2015;1141
50;MS;2016;223
11;RO;2016;103
12;AC;2016;56
13;AM;2016;194
14;RR;2016;59
15;PA;2016;277
16;AP;2016;36
17;TO;2016;101
21;MA;2016;294
22;PI;2016;321
23;CE;2016;590
24;RN;2016;181
25;PB;2016;181
26;PE;2016;396
27;AL;2016;112
28;SE;2016;115
29;BA;2016;532
31;MG;2016;1302
32;ES;2016;175
33;RJ;2016;573
35;SP;2016;2199
41;PR;2016;760
42;SC;2016;674
43;RS;2016;1168
51;MT;2016;178
52;GO;2016;481
53;DF;2016;152
11;RO;2017;113
12;AC;2017;64
13;AM;2017;207
14;RR;2017;50
15;PA;2017;301
16;AP;2017;46
17;TO;2017;115
21;MA;2017;318
22;PI;2017;317
23;CE;2017;644
24;RN;2017;180
25;PB;2017;250
26;PE;2017;438
27;AL;2017;104
28;SE;2017;127
29;BA;2017;603
31;MG;2017;1515
32;ES;2017;207
33;RJ;2017;607
35;SP;2017;2306
41;PR;2017;774
42;SC;2017;739
43;RS;2017;1349
50;MS;2017;259
51;MT;2017;197
52;GO;2017;497
53;DF;2017;168
