screen_name,created_at,text,in_reply_to_screen_name,retweeted_status_screen_name,user_description,source,lang,id
yleunameem,2021-05-10T22:33:13Z,coragem pra cometer suicídio só queria isso,,,a vida é bela mas só pra quem tem coragem.,Twitter for Android,pt,1391884055105441794
__bieela,2021-05-10T22:33:08Z,Já te falei vida do crime é suicidio lento,,,,Twitter for iPhone,pt,1391884036159811585
marieamts,2021-05-10T22:33:03Z,RT @nacarulyna: nao ironicamente   suicídio esta se tornando uma opção,,nacarulyna,crap bag,Twitter for Android,pt,1391884015620272128
jungkookincel,2021-05-10T22:32:52Z,"RT @gatinhopodre: opiniao que provavelmente vai fazer eu levar hate: chato pra caralho quem fica narrando o ""suicidio"" em rede social, perguntando onde tem que cortar ou quantas pilulas tem que tomar. pra mim a maioria ta querendo chamar atencao e se fazer de coitadinho",,gatinhopodre,Denji Bf!! (Canon),Twitter for Android,pt,1391883968564322311
sarafonseca1893,2021-05-10T22:32:43Z,RT @ruuelmaa: Nem consigo imaginar o tamanho da dor que alguém deve sentir para achar que o suicídio é a única opção... https://t.co/NuXfIsTwjc,,ruuelmaa,21 💙 @fcporto 💙 Nós seremos eternos! 💙,Twitter for iPhone,pt,1391883931209932803
peachjjinie,2021-05-10T22:32:38Z,"RT @mafleurjk: ⚠️ prevenção de suicídio ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

você não está sozinho, busque ajuda🎗️",,mafleurjk,• Sobrevivendo mais um dia pela soulmate @jikooknamora0,Twitter for Android,pt,1391883908472623107
ifsfairy,2021-05-10T22:32:25Z,"tw // suicídio
.
.
.
.
.
.
.
.
.

do nd a menina corta o pescoço pqp tomei um susto da porra",,,ㅤㅤㅤfan account  ♡︎  . . .  🔭   read carrd byf!!,Twitter for Android,pt,1391883856198914048
padeiiroo2,2021-05-10T22:32:25Z,@_haime_souza unica coisa impedindo meu suicidio é esse findi,_haime_souza,,💍@cenzoverardi,Twitter Web App,pt,1391883854823268359
Wokanys,2021-05-10T22:32:18Z,"RT @byangells: ⚠️ prevenção de suicídio ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

você não está sozinho, busque ajuda🎗️",,byangells,"⠀𖦄 𓂃 ⠀@BLACKPINK, 𝖨 𝗅𝗈𝗏𝖾 𝗒𝗈𝗎 𝖿𝗈𝗋 𝗂𝗇𝖿𝗂𝗇𝗂𝗍𝗒 ⠀ ⠀⠀⠀ ⠀ ⠀ ⠀⠀ 𝖦𝖾𝗇𝗌𝗁𝗂𝗇 𝖨𝗆𝗉𝖺𝖼𝗍 & 𝗈𝗄𝖾𝗀𝗈𝗆",Twitter for Android,pt,1391883824817115136
Yancamirella1,2021-05-10T22:32:15Z,"Tentaram boicotar a carreira da Luisa... Vitão pensou em suicídio...
O whindersson: mas fizeram piada de corno comigo poxaaan",,,,Twitter Web App,pt,1391883811475136512
CardosoTheus_,2021-05-10T22:32:05Z,@stephanie_ujo se eu fosse tu cometia um suicídio pprt,stephanie_ujo,,@flamengo,Twitter for Android,pt,1391883770194767873
idc_broh,2021-05-10T22:31:56Z,RT @ruuelmaa: Nem consigo imaginar o tamanho da dor que alguém deve sentir para achar que o suicídio é a única opção... https://t.co/NuXfIsTwjc,,ruuelmaa,ig: anastasia_kobelyuk,Twitter for Android,pt,1391883733351993350
sabiwnax,2021-05-10T22:31:34Z,Suicidio é oq necessito,,,𝘀𝗮𝗯𝗶𝗻𝗮 𝗵𝗶𝗱𝗮𝗹𝗴𝗼 supremacy — a ela -a,Twitter for iPhone,pt,1391883642159439875
flowersseung,2021-05-10T22:31:18Z,"RT @byangells: ⚠️ prevenção de suicídio ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

você não está sozinho, busque ajuda🎗️",,byangells,"➥ ⋆⑅˚₊ 🗝 ➳ ɪ ᴄʟᴏsᴇᴅ ᴍʏ ᴇʏᴇs, ɪ ᴛʜᴏᴜɢʜᴛ ᴏғ sᴏᴍᴇᴛʜɪɴɢ, sᴏᴍᴇᴛʜɪɴɢ ʜᴀᴘᴘʏ, ɪ ᴛʜᴏᴜɢʜᴛ ᴏғ.  (∩˃o˂∩)·˚ ༘♡ ·˚ ♡",Twitter for Android,pt,1391883574371143681
iknowplacex,2021-05-10T22:31:13Z,"RT @TAEJOONARCHVE: ⚠️ prevenção de suicídio ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

você não está sozinhe, busque ajuda🎗️",,TAEJOONARCHVE,ela/dela,Twitter for Android,pt,1391883552359342080
bianaaa_,2021-05-10T22:30:35Z,RT @ruuelmaa: Nem consigo imaginar o tamanho da dor que alguém deve sentir para achar que o suicídio é a única opção... https://t.co/NuXfIsTwjc,,ruuelmaa,ig: marianaaa.rc,Twitter for iPhone,pt,1391883394062106626
claralbps,2021-05-10T22:30:28Z,"RT @byangells: ⚠️ prevenção de suicídio ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

você não está sozinho, busque ajuda🎗️",,byangells,,Twitter for Android,pt,1391883364924276737
Silviaferrei06,2021-05-10T22:30:28Z,RT @ruuelmaa: Nem consigo imaginar o tamanho da dor que alguém deve sentir para achar que o suicídio é a única opção... https://t.co/NuXfIsTwjc,,ruuelmaa,@httpssilviaa,Twitter for iPhone,pt,1391883363968036866
13_jorginho,2021-05-10T22:30:28Z,RT @ruuelmaa: Nem consigo imaginar o tamanho da dor que alguém deve sentir para achar que o suicídio é a única opção... https://t.co/NuXfIsTwjc,,ruuelmaa,Sub19 ⚽🇵🇹,Twitter for Android,pt,1391883361640230912
ChrisQ2004,2021-05-10T22:30:17Z,@vinihive Suicídio*,vinihive,,"💁🏾‍♂️| Ele/Dele
✨| vem de dm",Twitter for Android,pt,1391883315951677440
ksjvhope,2021-05-10T22:30:11Z,"RT @byangells: ⚠️ prevenção de suicídio ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

você não está sozinho, busque ajuda🎗️",,byangells,𓈒 ׁ  ˖ 𝗂 𝗇𝖾𝖾𝖽 𝘺𝘰𝘶... ⊹ @innieyvlog,Twitter for Android,pt,1391883290584432640
stalsor,2021-05-10T22:30:10Z,"@Luamariae tem não, quase não foca em romance, vez ou outra só, mas nada de hot, os tw são suicídio, tortura, experimento em animais e humanos e um pouco de relacionamento abusivo

eu li por ebook mesmo",Luamariae,,we’re all stardust and stories.,Twitter Web App,pt,1391883287736561667
alabskaa,2021-05-10T22:29:48Z,resumo: a pessoa praticamente implorou por ajuda postando o tempo todo durante uma tentativa de suicídio ai veio alguém aleatório e quis lacrar em cima. ENFIOU A EMPATIA AONDE???? https://t.co/6ly6zkB7ee,,,♡ faergender • 18 • any pronouns ♡,Twitter for iPhone,pt,1391883195369590791
melsdelg,2021-05-10T22:29:42Z,RT @ruuelmaa: Nem consigo imaginar o tamanho da dor que alguém deve sentir para achar que o suicídio é a única opção... https://t.co/NuXfIsTwjc,,ruuelmaa,valorant is my b3tch,Twitter for iPhone,pt,1391883172099543041
70sizzy,2021-05-10T22:29:21Z,"RT @byangells: ⚠️ prevenção de suicídio ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

você não está sozinho, busque ajuda🎗️",,byangells,|ela/dela|▪︎|she/her|,Twitter for Android,pt,1391883084312846337
babali_badoo,2021-05-10T22:29:13Z,RT @ruuelmaa: Nem consigo imaginar o tamanho da dor que alguém deve sentir para achar que o suicídio é a única opção... https://t.co/NuXfIsTwjc,,ruuelmaa,1904 ❤,Twitter for iPhone,pt,1391883047864311811
froisinhaa,2021-05-10T22:29:04Z,"A quantidade de suicídio que tem em itamarandiba é preocupante 

Pqp... é muito jovem sofrendo nesse lugar",,,100% na força do ódio,Twitter for Android,pt,1391883012527304713
darks1967,2021-05-10T22:28:47Z,"RT @RIC0_PINHEIR0: Segundo fontes, o diretor de um falido e fracassado meio de comunicação da velha imprensa lixo tentou suicídio... A mamata do dinheiro público acabou e o desespero bateu.
Meu fí, fiq bem vivo p/ colher os frutos do mal q plantou contra o povo brasileiro!
#EstadaoFake",,RIC0_PINHEIR0,,Twitter for Android,pt,1391882940943065088
ChrisQ2004,2021-05-10T22:28:42Z,"""Ai mas que pensar em suicídio não é coerente"" 

MEU FILHO, EU MORO NO BRASIL! Não sei ainda como a população brasileira não fez um suicídio coletivo em masss.",,,"💁🏾‍♂️| Ele/Dele
✨| vem de dm",Twitter for Android,pt,1391882919921213447
rwrbminyard,2021-05-10T22:28:40Z,"RT @acidxgrl: já abracei minha mediocridade
ja aceitei que meu destino é arrumar um emprego medíocre, arrumar um namorado medíocre e assim ter uma vida medíocre tal como eu sou
ou cometer suicídio, que sempre é uma opção",,acidxgrl,"#LUKE: you’re coming with me. I’ll not leave you here, I’ve got to save you.' | @DARTHSLUKE my sun














































•a/ela/-a •",Twitter for Android,pt,1391882912325410826
harrywayz,2021-05-10T22:28:34Z,"RT @byangells: ⚠️ prevenção de suicídio ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

você não está sozinho, busque ajuda🎗️",,byangells,Harry Styles fala e eu obedeço {a|ela|a-ele|dele|e},Twitter for iPhone,pt,1391882884726853633
ashlinxyo,2021-05-10T22:28:28Z,"RT @byangells: ⚠️ prevenção de suicídio ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

você não está sozinho, busque ajuda🎗️",,byangells,𝘀.   ☕   𝒌𝒖𝒔𝒖𝒐   ♡.  𝐥𝐨𝐯𝐞'𝗌  𐀔   ࣪˖  𓂅,Twitter for Android,pt,1391882861540687874
thiagoroos_12,2021-05-10T22:28:26Z,"@selenapetista @crueldrivers apoiando suicídio, tinha que ser fã da selma msm",selenapetista,,,Twitter for Android,pt,1391882854058110981
juliasanchezxx,2021-05-10T22:28:21Z,"@Kaaholiveiraax O suicídio nunca é solução, só causa mais dor, vc é jovem e certeza q tem muito potencial, por mais q eu nn te conheça mt e nn saiba pelo q vc está passando, sei q consegue melhorar, vc consegue ❤️",Kaaholiveiraax,,"insta: julia_sanchez.16
🏴",Twitter for Android,pt,1391882832700657664
ollgintentions,2021-05-10T22:28:20Z,"RT @byangells: ⚠️ prevenção de suicídio ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

você não está sozinho, busque ajuda🎗️",,byangells,fan account,Twitter for iPhone,pt,1391882827495583751
RenatoN38847412,2021-05-10T22:28:06Z,"RT @RIC0_PINHEIR0: Segundo fontes, o diretor de um falido e fracassado meio de comunicação da velha imprensa lixo tentou suicídio... A mamata do dinheiro público acabou e o desespero bateu.
Meu fí, fiq bem vivo p/ colher os frutos do mal q plantou contra o povo brasileiro!
#EstadaoFake",,RIC0_PINHEIR0,sou o que sou,Twitter for Android,pt,1391882766694993922
rAdkeei,2021-05-10T22:27:51Z,"vontade daquilo que começa com s e termina com o
🌈✨ suicídio 🌈✨",,,"insta: _.euradke 📷
Inter de sampa📍",Twitter for Android,pt,1391882703646167045
Rosemei34368445,2021-05-10T22:27:49Z,"RT @RIC0_PINHEIR0: Segundo fontes, o diretor de um falido e fracassado meio de comunicação da velha imprensa lixo tentou suicídio... A mamata do dinheiro público acabou e o desespero bateu.
Meu fí, fiq bem vivo p/ colher os frutos do mal q plantou contra o povo brasileiro!
#EstadaoFake",,RIC0_PINHEIR0,🇧🇷🇧🇷🙏🙏,Twitter for Android,pt,1391882696264228866
loutsun91,2021-05-10T22:27:28Z,"RT @byangells: ⚠️ prevenção de suicídio ⚠️

📞188
📞0800 273 8255
📞0800 290 0024

você não está sozinho, busque ajuda🎗️",,byangells,"#~ 𝐋𝐨𝐮𝐢𝐬 𝐓𝐨𝐦𝐥𝐢𝐧𝐬𝐨𝐧, 𝟏𝟗𝟗𝟏. ᵉˡᵃ | ᵈᵉˡᵃ | ⁻ᵃ",Twitter for iPhone,pt,1391882609429467137
Cookieh_003,2021-05-10T22:27:27Z,"RT @Camomiola: @obitoroludo eu me afastei de todo mundo oq sentia que não conseguia contar com ngm, eu não sentia vontade pra nada, quase tentei suicídio umas 4 vezes, minha relação com os meus pais despencou, eu não ligava mais pra nada, não sentia vontade de mais nada, é literalmente uma das piores +",,Camomiola,"𓏲     𝗯𝗮n͟g͟𝘁𝗮𝗻.    일곱!  ◞   𝖼𝖾𝗅𝖾𝗌𝗍 𝖻𝗈𝗒𝗌.   
   𝖻𝗍𝗌 is my 🏠 
Reservation: @Cookieh_h",Twitter for Android,pt,1391882604140503044
perfectkimsjin,2021-05-10T22:27:23Z,RT @monadrift: viver no brasil eh um teste pra ver até quando seres humanos aguentam sem cometer suicidio ou homicidio,,monadrift,"ﾟ･:*✿𝓘 𝓭𝓸 𝓫𝓮𝓵𝓲𝓮𝓿𝓮 𝔂𝓸𝓾𝓻 𝓰𝓪𝓵𝓪𝔁𝔂  - 𝓜𝓪𝓰𝓲𝓬 𝓢𝓱𝓸𝓹 ✿*:
Gisis • 23y • Escritora • She, Her/ Ela, Dela",Twitter for Android,pt,1391882589120704514
