Ano;Brasil;Japão;Estados Unidos;Bélgica
1979;29547;5179;7668;4375
1980;27062;5313;7848;4250
1981;26549;5490;7703;4283
1982;28074;5391;7587;4295
1983;24648;4469;7652;4118
1984;26125;4622;7470;3952
1985;27785;4850;7495;4063
1986;27809;4460;7217;4217
1987;26289;4835;7314;4151
1988;28146;5075;7481;4668
1989;28808;5509;7594;4869
1990;27355;5811;7443;4944
1991;26043;5905;7565;5205
1992;26312;5651;7730;5020
1993;25347;5784;7659;4417
1994;24116;5691;7731;4456
1995;22151;5569;7775;4420
1996;21999;5407;7966;4747
1997;21757;5114;8142;4462
1998;22034;3793;8224;4765
1999;23644;3841;8695;5195
2000;23320;3993;8937;4514
2001;20775;4121;8672;4485
2002;21146;4044;8492;4700
2003;21099;3776;8610;4688
2004;21012;4012;8436;4956
2005;19988;3973;8462;4879
2006;20071;4054;8379;5148
2007;19795;3936;8112;5401
2008;19324;4010;7836;5052
2009;19213;3947;7727;5053
2010;19262;4118;7503;5072
2011;18698;4203;7348;4959
2012;18027;4584;7213;5154
2013;17831;4636;7177;5554
2014;17805;4937;6961;5570
2015;17117;5212;6790;5690
2016;18035;6042;7199;5811
2017;16630;6195;6901;6579
2018;16453;6181;6945;6263
2019;15606;6262;6907;5462
2020;17281;6299;7392;4329
